StarSignName;" StartDate";" EndDate";" StarSignInfo"
Aries;21 March 2024;20 April 2024;" Some info"
Taurus;21 April 2024;21 May 2024;" some other info"
Gemini;22 May 2024;21 June 2024;" Gemini infi"
Cancer;22 June 2024;22 July 2024;" Cancer info "
Leo;23 July 2024;23 August 2024;" Leo info"
Virgo;24 August 2024;23 September 2024;" Virgo"
Libra;24 September 2024;23 October 2024;" Libra name"
Scorpio;24 October 2024;22 November 2024;" Scorpio name"
Sagittarius;23 November 2024;21 December 2024;" Name"
Capricorn;22 December 2024;20 January 2024;" Capricorn data"
Aquarius;21 January 2024;18 February 2024;" Aquarios name"
Pisces;19 February 2024;20 March 2024;" Pices name"
