11823: Registrerte kj�ret�y, etter region, drivstofftype, statistikkvariabel og �r;;;;
;;;;
;;Personbiler;;
;;2016;2019;2022
LK01 Oslo og Viken;Bensin;432347;373835;284791
;Diesel;413426;374958;301395
;El.;44329;124854;274659
LK04 Vestlandet;Bensin;295689;252333;203447
;Diesel;317285;318283;283769
;El.;28225;72722;158320
LK06 Nord-Norge;Bensin;103560;89642;73131
;Diesel;136986;150754;144541
;El.;3130;8422;26845
;;;;
region:;;;;
<a href='https://www.ssb.no/offentlig-sektor/kommunekatalog/endringer-i-de-regionale-inndelingene' target='footnote'><b>Se liste over endringer i de regionale inndelingene.</b></a>;;;;
;;;;
region:;;;;
Oslo og Viken:;;;;
Tallene ble rettet 23.2.2021.;;;;
;;;;
;;;;
Sist endret:;;;;
Personbiler:;;;;
20230307 08:00;;;;
;;;;
Kilde:;;;;
Statistisk sentralbyr�;;;;
;;;;
Kontakt:;;;;
Personbiler:;;;;
Bente E. Andresen, Statistisk sentralbyr�;;;;
 +47 408 11 384;;;;
bab@ssb.no;;;;
;;;;
Henrik Br�then, Statistisk sentralbyr�;;;;
 +47 40 81 14 03;;;;
bhe@ssb.no;;;;
;;;;
Geir Martin Pilskog, Statistisk sentralbyr�;;;;
 +47 408 11 383;;;;
gmp@ssb.no;;;;
;;;;
;;;;
;;;;
;;;;
M�leenhet:;;;;
Personbiler:;;;;
kj�ret�y;;;;
M�lemetode:;;;;
Personbiler:;;;;
Situasjon (tidspunkt);;;;
;;;;
Referansetid:;;;;
Personbiler;;;;
31. desember;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Offisiell statistikk;;;;
;;;;
Database:;;;;
Ekstern PRODUKSJON;;;;
;;;;
Intern referansekode:;;;;
Personbil1;;;;
