Question; Answer
Når fikk kvinner adgang til å studere?;1884
Hvilket år fikk kvinner stemmerett og kunne stie til valg?;1913
Aasa Helgensen var den første kvinnelige ordføreren i Utsira kommune. Når skjedde dette?;1925
Kristen Hansteen ble det første kvinnelige statsrådet. Hvilket årstal var dette?;1945
I ...  fikk kvinner rett til å gjennomføre vanlig befalsundervisning i forsvaret;1977
Når var likestillingsloven vedtatt?;1978
Gro Harlem Brundtland var norges første kvinnelige statsminister. Når skjedde dette?;1981
Eldbjørg Løwer var norges første kvinnelige forsvarsminister. Hvilket år var dette?;1999
Kvinnelig verneplikt var innført i....;2015
Likestilling og diskrimineringsloven ble vedtatt i....;2017
