Time;Temperature;Humidity;Pressure;Accel_x;Accel_y;Accel_z;Rot_x;Rot_y;Rot_z;Mag_x;Mag_y;Mag_z;
1457.00;20.47;47.86;100.73;-0.29;-0.94;0.22;2.99;-0.67;-0.37;-35.00;3.00;-9.00;
1640.00;20.51;47.85;100.72;-0.28;-0.95;0.21;6.71;0.55;-0.92;-34.00;0.00;-9.00;
1822.00;20.49;47.85;100.73;-0.28;-0.96;0.17;4.76;0.73;-0.92;-35.00;0.00;-17.00;
2005.00;20.51;47.83;100.73;-0.29;-0.93;0.17;-0.31;0.79;-0.98;-37.00;1.00;-13.00;
2189.00;20.51;47.81;100.72;-0.30;-0.93;0.17;1.89;0.31;-0.18;-37.00;0.00;-18.00;
2372.00;20.51;47.81;100.73;-0.27;-0.93;0.24;1.89;-4.58;-0.37;-39.00;0.00;-10.00;
2556.00;20.50;47.79;100.73;-0.26;-0.89;0.17;7.51;-17.52;-11.96;-37.00;-1.00;-14.00;
2743.00;20.51;47.79;100.72;-0.39;-1.00;-0.01;17.27;-20.57;-3.85;-33.00;2.00;-16.00;
2930.00;20.51;47.77;100.73;-0.33;-0.93;0.07;-6.90;-0.98;-0.79;-34.00;4.00;-20.00;
3115.00;20.53;47.77;100.73;-0.34;-0.93;0.06;12.45;-25.76;-7.81;-34.00;1.00;-22.00;
3301.00;20.53;47.75;100.73;-0.39;-1.03;0.04;-7.39;-20.69;-0.12;-35.00;4.00;-23.00;
3487.00;20.53;47.75;100.73;-0.30;-0.91;0.09;-17.27;-23.44;6.10;-35.00;3.00;-20.00;
3673.00;20.51;47.75;100.73;-0.37;-0.88;0.09;-16.36;-12.63;-7.39;-36.00;0.00;-17.00;
3860.00;20.53;47.74;100.73;-0.48;-0.92;0.02;19.17;1.83;-13.24;-34.00;0.00;-22.00;
4045.00;20.53;47.74;100.73;-0.52;-0.91;0.01;38.88;26.61;-58.65;-35.00;5.00;-20.00;
4231.00;20.53;47.72;100.73;-0.55;-0.68;-0.10;46.26;39.67;-38.70;-27.00;18.00;-24.00;
4419.00;20.53;47.72;100.72;-0.64;-0.80;-0.10;24.96;19.65;-17.70;-23.00;21.00;-27.00;
4607.00;20.53;47.70;100.73;-0.74;-0.71;-0.11;2.56;3.30;-24.84;-21.00;24.00;-25.00;
4793.00;20.53;47.70;100.73;-0.75;-0.62;-0.11;-22.34;3.97;12.33;-22.00;25.00;-21.00;
4980.00;20.51;47.67;100.73;-0.69;-0.61;-0.18;-34.00;-9.40;19.65;-24.00;24.00;-23.00;
5168.00;20.53;47.67;100.73;-0.50;-0.66;0.24;-61.46;-10.44;84.05;-25.00;21.00;-14.00;
5356.00;20.53;47.67;100.73;-0.53;-0.61;0.03;-47.36;-80.20;-28.14;-32.00;14.00;-11.00;
5545.00;20.51;47.67;100.73;-0.65;-0.85;-0.48;-13.55;-69.34;1.10;-32.00;13.00;-18.00;
5733.00;20.53;47.65;100.73;-0.56;-0.62;0.20;6.59;-3.66;49.99;-32.00;11.00;-16.00;
5918.00;20.53;47.65;100.73;-0.47;-1.14;0.00;-5.92;-18.37;22.83;-37.00;4.00;-16.00;
6104.00;20.53;47.65;100.73;-0.47;-0.94;-0.08;-9.64;1.53;-11.05;-34.00;4.00;-15.00;
6290.00;20.51;47.63;100.73;-0.40;-0.64;0.14;-28.75;-9.09;3.30;-32.00;4.00;-15.00;
6475.00;20.50;47.63;100.72;-0.50;-0.76;0.18;-2.56;-6.65;-12.70;-36.00;6.00;-11.00;
6661.00;20.51;47.63;100.73;-0.57;-0.94;0.12;20.75;-0.43;-13.43;-34.00;6.00;-9.00;
6846.00;20.53;47.61;100.73;-0.42;-0.43;0.10;-14.59;7.75;12.76;-33.00;11.00;-13.00;
7032.00;20.53;47.61;100.73;-0.54;-0.71;0.07;-0.55;-5.25;1.59;-34.00;5.00;-11.00;
7216.00;20.53;47.59;100.73;-0.40;-0.83;0.07;13.98;14.22;5.07;-33.00;5.00;-12.00;
7400.00;20.53;47.59;100.73;-0.51;-0.93;0.08;-0.18;6.65;5.98;-35.00;5.00;-14.00;
7583.00;20.53;47.59;100.73;-0.46;-0.85;0.20;-11.29;-0.92;-0.73;-34.00;5.00;-11.00;
7769.00;20.50;47.59;100.73;-0.50;-0.88;0.19;-17.52;-7.20;11.29;-34.00;6.00;-8.00;
7954.00;20.51;47.58;100.73;-0.48;-0.87;0.12;-3.54;-7.63;-3.85;-34.00;5.00;-6.00;
8138.00;20.53;47.58;100.73;-0.51;-0.81;0.19;2.14;-1.53;-3.30;-34.00;4.00;-6.00;
8321.00;20.51;47.58;100.73;-0.49;-0.86;0.12;14.59;8.54;-9.28;-35.00;5.00;-9.00;
8504.00;20.51;47.56;100.73;-0.50;-0.84;0.13;24.41;9.40;-3.54;-36.00;6.00;-12.00;
8688.00;20.53;47.56;100.73;-0.51;-0.81;0.11;-5.43;-7.87;5.98;-35.00;7.00;-14.00;
8872.00;20.51;47.56;100.73;-0.52;-0.87;0.01;9.03;6.59;-22.77;-34.00;5.00;-13.00;
9056.00;20.51;47.56;100.73;-0.72;-0.94;-0.07;114.93;-32.17;-65.12;-31.00;11.00;-19.00;
9246.00;20.51;47.54;100.73;-0.76;-0.53;-0.29;108.46;-8.24;-100.40;-14.00;21.00;-38.00;
9436.00;20.51;47.54;100.73;-0.70;0.07;-0.45;84.17;57.92;-60.24;7.00;29.00;-44.00;
9621.00;20.53;47.54;100.73;-0.95;0.04;-0.22;103.45;-67.81;-12.82;22.00;33.00;-41.00;
9809.00;20.51;47.51;100.73;-0.83;0.41;-0.59;-35.95;55.30;-55.54;36.00;27.00;-48.00;
9996.00;20.51;47.51;100.73;-0.53;0.82;-0.29;59.88;-15.87;-26.61;46.00;22.00;-35.00;
10183.00;20.51;47.51;100.73;-0.66;0.50;-0.34;14.83;-21.67;41.20;49.00;21.00;-40.00;
10370.00;20.51;47.51;100.73;-0.75;0.55;-0.39;42.91;-35.28;12.82;48.00;20.00;-32.00;
10557.00;20.51;47.50;100.73;-0.71;0.59;-0.63;19.29;-6.53;21.61;48.00;21.00;-37.00;
10743.00;20.51;47.50;100.73;-0.81;0.33;-0.47;-35.34;20.63;30.09;44.00;24.00;-39.00;
10930.00;20.51;47.50;100.73;-1.03;0.32;-0.57;-2.93;20.57;-0.43;41.00;28.00;-35.00;
11116.00;20.50;47.48;100.73;-0.55;0.82;0.04;39.55;42.91;-48.46;48.00;29.00;-30.00;
11302.00;20.51;47.48;100.73;-0.69;1.01;0.45;181.88;-33.81;62.01;49.00;28.00;-13.00;
11489.00;20.50;47.48;100.73;-0.80;0.66;-0.01;121.70;-38.94;-2.62;48.00;32.00;-12.00;
11677.00;20.51;47.48;100.73;-0.90;0.54;-0.14;107.79;-45.90;-5.55;45.00;31.00;-3.00;
11864.00;20.50;47.46;100.73;-0.87;0.46;-0.08;41.99;-7.51;-16.78;42.00;30.00;0.00;
12049.00;20.50;47.46;100.74;-0.95;0.31;-0.06;-12.94;-4.82;2.08;43.00;31.00;5.00;
12233.00;20.50;47.46;100.73;-0.85;0.44;0.08;-33.63;14.28;-1.53;42.00;32.00;0.00;
12417.00;20.51;47.43;100.73;-0.89;0.52;0.10;-38.82;9.64;-3.85;43.00;32.00;0.00;
12600.00;20.51;47.44;100.73;-0.91;0.29;0.05;-106.08;18.31;1.46;45.00;30.00;-3.00;
12785.00;20.50;47.44;100.73;-0.87;0.56;-0.12;-112.49;18.98;52.25;46.00;31.00;-9.00;
12972.00;20.51;47.44;100.73;-0.97;0.26;-0.05;-48.34;-33.87;12.08;41.00;35.00;-21.00;
13160.00;20.51;47.42;100.73;-0.99;0.36;-0.10;-19.71;-3.30;-48.46;42.00;33.00;-21.00;
13348.00;20.50;47.42;100.73;-0.92;0.22;-0.33;-10.80;29.24;-7.20;43.00;31.00;-29.00;
13535.00;20.50;47.42;100.73;-1.01;0.36;-0.18;-1.77;31.01;41.63;40.00;34.00;-23.00;
13721.00;20.50;47.41;100.73;-0.92;0.30;-0.03;49.13;1.83;-44.37;39.00;36.00;-19.00;
13907.00;20.49;47.40;100.73;-0.89;0.25;0.01;54.26;30.03;-32.78;45.00;31.00;-13.00;
14093.00;20.51;47.40;100.74;-0.72;0.58;0.33;-12.45;15.75;2.44;47.00;28.00;-7.00;
14277.00;20.49;47.40;100.73;-0.91;0.71;0.00;11.05;-64.88;-8.06;46.00;29.00;-4.00;
14462.00;20.50;47.40;100.74;-0.98;0.53;0.02;-10.13;-22.22;-0.43;48.00;32.00;-11.00;
14649.00;20.49;47.37;100.74;-0.91;0.42;-0.08;-4.09;8.06;-4.88;48.00;28.00;-13.00;
14834.00;20.49;47.37;100.73;-0.84;0.43;-0.07;-8.97;-0.79;4.46;47.00;31.00;-17.00;
15019.00;20.49;47.37;100.74;-0.98;0.40;-0.19;-14.34;4.27;9.28;48.00;29.00;-18.00;
15204.00;20.50;47.35;100.73;-0.75;0.46;-0.34;-59.88;49.50;-8.12;45.00;30.00;-20.00;
15391.00;20.49;47.35;100.73;-0.68;0.25;-0.10;-99.98;34.00;-30.88;44.00;31.00;-19.00;
15579.00;20.49;47.35;100.74;-0.87;0.57;-0.08;-69.64;-52.67;-4.27;44.00;28.00;-33.00;
15767.00;20.49;47.33;100.74;-0.72;0.39;-0.45;-26.06;6.59;-11.66;38.00;24.00;-44.00;
15954.00;20.49;47.33;100.74;-0.81;0.52;-0.31;-24.23;32.23;-13.73;38.00;27.00;-39.00;
16142.00;20.49;47.33;100.73;-0.81;0.44;-0.32;22.58;-10.62;6.77;36.00;27.00;-36.00;
16328.00;20.49;47.33;100.73;-0.83;0.46;-0.35;19.96;-1.89;0.67;38.00;27.00;-39.00;
16513.00;20.49;47.30;100.73;-0.74;0.58;-0.23;40.83;-20.45;13.24;40.00;27.00;-35.00;
16700.00;20.49;47.30;100.73;-0.82;0.57;-0.37;72.14;-29.79;21.42;42.00;28.00;-34.00;
16887.00;20.47;47.30;100.73;-0.78;0.32;-0.45;52.73;-13.67;14.10;46.00;27.00;-31.00;
17074.00;20.47;47.30;100.73;-0.80;0.45;-0.37;27.83;-18.37;-2.69;47.00;28.00;-30.00;
17261.00;20.49;47.28;100.73;-0.90;0.50;-0.35;14.40;-9.52;0.79;49.00;28.00;-27.00;
17446.00;20.47;47.28;100.73;-0.78;0.35;-0.32;6.90;12.08;-1.34;48.00;27.00;-26.00;
17631.00;20.46;47.26;100.74;-0.80;0.45;-0.26;1.04;-2.75;-3.42;51.00;25.00;-24.00;
17816.00;20.47;47.26;100.73;-0.81;0.57;-0.34;-34.79;14.10;4.64;52.00;26.00;-28.00;
18002.00;20.46;47.26;100.73;-0.77;0.36;-0.20;-49.74;3.66;16.78;45.00;27.00;-28.00;
18188.00;20.46;47.26;100.74;-0.90;0.44;-0.34;15.87;-38.51;39.25;37.00;29.00;-35.00;
18375.00;20.45;47.24;100.73;-0.87;0.20;-0.44;4.33;-8.06;-36.07;38.00;27.00;-44.00;
18561.00;20.47;47.24;100.74;-0.75;0.34;-0.60;26.49;-37.35;-0.49;40.00;26.00;-43.00;
18748.00;20.47;47.24;100.73;-0.74;0.48;-0.60;-2.99;16.24;17.15;44.00;24.00;-39.00;
18934.00;20.46;47.22;100.73;-0.79;0.48;-0.45;26.73;-12.45;15.08;40.00;24.00;-40.00;
19121.00;20.47;47.22;100.73;-0.89;0.15;-0.63;48.95;5.80;34.00;40.00;27.00;-42.00;
19306.00;20.46;47.22;100.73;-0.77;0.11;-0.48;1.34;-3.36;-1.16;42.00;29.00;-38.00;
19491.00;20.47;47.22;100.74;-0.75;0.15;-0.60;-46.63;12.88;-16.78;39.00;27.00;-35.00;
19679.00;20.45;47.21;100.73;-0.78;0.26;-0.33;-56.88;-0.98;-13.98;37.00;28.00;-38.00;
19867.00;20.46;47.21;100.73;-0.87;0.44;-0.48;-47.00;10.19;-11.66;33.00;26.00;-45.00;
20055.00;20.45;47.18;100.73;-0.86;0.16;-0.52;11.11;-20.69;4.03;30.00;28.00;-46.00;
20241.00;20.46;47.18;100.73;-0.79;0.18;-0.56;-14.53;14.47;-4.88;28.00;27.00;-41.00;
20428.00;20.46;47.18;100.73;-1.07;0.11;-0.70;42.11;13.49;-16.78;31.00;27.00;-43.00;
20615.00;20.45;47.16;100.73;-0.61;0.43;-0.28;228.94;87.16;-16.97;39.00;28.00;-36.00;
20803.00;20.46;47.16;100.74;-0.59;0.50;0.23;-0.85;49.07;11.11;47.00;33.00;-10.00;
20988.00;20.46;47.16;100.73;-0.80;0.27;0.22;43.64;-28.99;-31.68;46.00;32.00;-5.00;
21174.00;20.45;47.14;100.73;-0.94;0.50;0.08;170.65;-14.95;-71.90;49.00;29.00;2.00;
21360.00;20.46;47.14;100.73;-0.71;0.58;0.72;147.46;50.48;-122.50;44.00;15.00;27.00;
21547.00;20.43;47.14;100.73;-0.57;0.37;0.80;83.50;12.45;1.28;31.00;8.00;34.00;
21729.00;20.45;47.13;100.73;-0.43;0.06;0.84;96.98;32.41;-6.47;22.00;3.00;37.00;
21912.00;20.45;47.13;100.73;-0.32;-0.30;0.89;71.35;12.57;-7.26;10.00;0.00;39.00;
22096.00;20.43;47.13;100.73;-0.44;-0.29;0.88;16.78;-8.00;-26.67;2.00;0.00;37.00;
22280.00;20.45;47.11;100.73;-0.37;-0.13;1.23;-40.34;-27.65;21.12;0.00;0.00;40.00;
22465.00;20.43;47.11;100.73;-0.67;-0.23;1.07;167.85;-147.52;-35.22;-6.00;17.00;24.00;
22654.00;20.43;47.11;100.73;-0.84;-0.03;0.40;-193.60;-70.43;-45.29;11.00;28.00;17.00;
22843.00;20.42;47.09;100.73;-0.99;-0.45;0.03;-97.96;15.38;56.58;19.00;34.00;12.00;
23029.00;20.43;47.09;100.73;-1.05;-0.52;0.04;158.39;39.18;20.14;12.00;32.00;17.00;
23215.00;20.43;47.07;100.73;-0.57;-0.71;0.09;171.94;138.31;65.92;-12.00;22.00;16.00;
23403.00;20.43;47.07;100.73;-0.60;-0.79;0.55;83.56;26.18;21.30;-28.00;11.00;6.00;
23588.00;20.43;47.07;100.73;-0.65;-0.62;0.37;8.97;1.83;5.07;-32.00;9.00;-1.00;
23770.00;20.42;47.05;100.72;-0.69;-1.23;0.09;281.49;1.77;-143.92;-26.00;18.00;-19.00;
23959.00;20.42;47.05;100.73;-0.76;-0.16;-0.26;81.24;-20.51;23.38;-12.00;32.00;-28.00;
24148.00;20.42;47.05;100.73;-0.56;-0.68;-0.77;113.46;-151.61;-4.52;-13.00;21.00;-40.00;
24339.00;20.41;47.02;100.73;-0.41;-0.07;-0.94;110.29;-6.59;12.02;6.00;6.00;-57.00;
24525.00;20.41;47.02;100.73;-0.48;1.23;-0.66;544.86;41.32;-16.85;22.00;4.00;-63.00;
24712.00;20.42;47.02;100.73;-0.67;0.49;-0.30;106.57;7.81;-3.42;62.00;14.00;-25.00;
24898.00;20.39;47.00;100.73;-0.72;0.84;0.37;251.71;21.24;-30.33;66.00;2.00;-6.00;
25083.00;20.41;47.00;100.72;-0.42;0.37;0.56;33.75;2.62;-18.80;62.00;4.00;7.00;
25265.00;20.42;46.98;100.73;-0.41;-0.19;0.43;608.03;-58.35;30.76;39.00;3.00;30.00;
25451.00;20.41;46.98;100.73;-0.95;0.69;0.33;-6.77;-80.38;7.69;45.00;11.00;26.00;
25635.00;20.41;46.98;100.73;-0.75;0.60;0.54;21.61;102.48;-4.33;45.00;19.00;21.00;
25820.00;20.41;46.96;100.73;-0.35;0.20;0.52;61.52;-15.38;150.21;35.00;12.00;33.00;
26006.00;20.41;46.96;100.72;-0.77;-0.30;0.69;37.96;-12.21;11.17;17.00;18.00;32.00;
26192.00;20.39;46.94;100.73;-0.68;-0.13;0.83;9.58;-10.56;4.76;13.00;18.00;31.00;
26376.00;20.39;46.94;100.73;-0.62;-0.21;0.71;-4.33;0.24;-1.65;12.00;17.00;31.00;
26560.00;20.38;46.94;100.73;-0.65;-0.29;0.64;4.58;-15.26;23.80;12.00;21.00;28.00;
26745.00;20.41;46.92;100.73;-0.65;-0.33;0.68;8.06;-26.67;12.57;8.00;22.00;25.00;
26929.00;20.39;46.92;100.72;-0.75;-0.33;0.61;-20.94;-29.97;68.42;12.00;23.00;28.00;
27116.00;20.37;46.90;100.72;-0.92;-0.65;0.24;-68.48;56.88;-61.52;15.00;25.00;26.00;
27303.00;20.38;46.90;100.73;-0.26;-0.08;1.03;75.74;80.02;-91.13;25.00;9.00;37.00;
27488.00;20.38;46.90;100.72;-0.18;-0.01;1.00;8.42;36.25;-52.55;19.00;-2.00;35.00;
